"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Consumers","Lifetime Post Consumptions","Lifetime Post consumers by type - link clicks","Lifetime Post consumers by type - other clicks","Lifetime Post consumers by type - photo view","Lifetime Post Consumptions by type - link clicks","Lifetime Post Consumptions by type - other clicks","Lifetime Post Consumptions by type - photo view","Lifetime Negative feedback","Lifetime Negative Feedback from Users","Lifetime Negative feedback - hide_all_clicks","Lifetime Negative feedback - hide_clicks","Lifetime Negative feedback - unlike_page_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - unlike_page_clicks","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Average time video viewed","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Video length","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views"
,,,,,,,"Lifetime: The total number of people your Page post was served to. (Unique Users)","Lifetime: The number of people who saw your Page post in news feed or ticker, or on your Page's timeline. (Unique Users)","Lifetime: The number of people your advertised Page post was served to. (Unique Users)","Lifetime: The number of impressions of your Page post. (Total Count)","Lifetime: The number of impressions of your post in News Feed or ticker or on your Page's Timeline. (Total Count)","Lifetime: The number of impressions of your Page post in an Ad or Sponsored Story. (Total Count)","Lifetime: The number of people who clicked anywhere in your posts. (Unique Users)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who clicked anywhere in your post. (Unique Users)","Lifetime: The number of clicks anywhere in your post. (Total Count)","Lifetime: The number of people who clicked anywhere in your post, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in your post, by type. (Total Count)",,,"Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,,"Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Average time video viewed (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Length of a video post (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)"
425972674207761_548405468631147,https://www.facebook.com/UnitedIssue/posts/548405468631147,"【德媒】 同志婚姻：在野施壓

U.I網頁版： http://united-issue.com/posts/322


　　在愛爾蘭的同性婚姻迎來平等機會後，也激起了德國熱烈的討論

　　愛爾蘭公投通過同志婚姻擁有完全法律上平等待遇後，加重了對聯邦政府的施壓。「事實上，在如愛爾蘭這樣一個嚴謹的天主教國家，很明顯地都有多數人來擁護男、女同志的婚姻，代表了一場文化的革命。」而這在不久前是難以想像的，左翼黨(die Linke)於國會的黨團領袖吉西(Gregor Gysi)於南德日報(Süddeutschen Zeitung)上說道。

　　「目前不容德國躊躇不前了，我們必須即刻趕上愛爾蘭人所示範的。」吉西要求道，並補充：「聯盟(指CDU/CSU)的文化教育得更積極。」

　　綠黨(die Grünen)聯合主席彼得(Simone Peter)在雜誌上表示，愛爾蘭以公投透露了「德國在平等機會上的落後」，儘管在紅綠( Rot-Grün，指社民黨與綠黨聯合政府)的執政下，2001年通過民事伴侶關係登記，取得了領先的地位。他也要求，德國和其他歐洲國家如法國、英國和西班牙現在必須追隨愛爾蘭，為同性伴侶打開婚姻的大門。

　　聯合政府的阻擋：「同志婚姻的問題是高政治性的問題，若有改變的需求，我們基民盟(CDU)與基社盟(CSU)的聯盟必定要討論該問題。」聯盟於國會的家庭政策黨團發言人法恩柏格(Marcus Weinberg, CDU)表示，並補充說道：「我們不想要在任期內完全全新地調整這對聯盟而言重要的政治議題。」

　　CDU的副主席史托博(Thomas Strobl)在法蘭克福評論報(Frankfurter Rundschau )上強調，這適用於聯盟的合約。史托博明白的表示：「我們應遵守協議。」聯邦政府均權負責人盧德絲(Christine Lüders)在國會上超脫黨意，建議投票表決，而史托博否決掉了：國會必須維持可計議性，不可受隨機多數操作。聯盟和社民黨(SPD)在2013年聯合談判中協商標準化，然而並無協商民事伴侶關係登記的婚姻完全平等機會。

　　與此同時，社民黨加重對總理施壓。國會黨團的內政發言人利徐卡(Burkhard Lischka)：「我們不應該是歐洲吊車尾的。」賽海姆圈(Seeheimer Kreis, 社民黨國會成員的特團)領袖卡爾斯(Johannes Kahrs)：「女王自己都宣布願意簽署這樣的法律，安格拉梅克爾(德國總理)要有自知之明，她這項議題的政策僅只落伍且難堪。」

　　內閣會在周三時會商討由司法部長馬斯(Heiko Maas, SPD)提出的法律草案，以民事伴侶關係登記讓婚姻在法律上更站穩腳步，例如放寬民法與程序法上的規定。

　　根據星期六的官方結果，愛爾蘭成為第一個以公投讓同性婚姻進入該國的國家。


資料來源: http://www.zeit.de/politik/2015-05/opposition-gleichgeschlechtliche-ehe




譯者：P.Yang",Link,,,"05/28/2015 06:00:01 PM",332,332,0,682,682,0,33,,12,,,12,,26,28,1,25,,1,27,,0,0,,,,,,,639,300,0,0,32,0,0,0,0,0,0,0,0,0,0
425972674207761_546893355449025,https://www.facebook.com/UnitedIssue/posts/546893355449025,"【日媒】 習主席對訪中團表明「重視中日關係從不改變」 以歷史認知牽制安倍政權

U.I網頁版： http://united-issue.com/posts/321


23日晚上中國國家主席習近平在於北京人民大會堂舉辦的自民黨總務長二階俊博等訪中團的歡迎會上發表演說，表示「中國重視中日關係發展的基本方針始終沒有感變」，顯示想改變和日本的關係。這是自2012年11月習近平上任後，首次當日本的面提出友好交流。

習近平表示：「正是因為兩國關係沒有順利發展，因此必須加強民間交流」，提出年輕世代間的交流的主張。

另一方面，習近平以「歪曲日本軍國主義的侵略歷史及美化一切行為事局對不能允許的」的一席話，牽制安倍晉三。安倍首相在今年夏天番發表戰後70年的談話，和村山富市的50年談話、小泉純一郎的60年談話一起被記載，顯示對於安倍對先前大戰「打從心底致歉」措辭否定的警戒感。

對於此，二階以「支配中日關係的是不受政治左右、民間層面深刻的人的關係。」反駁，表示「以習主席為首，從中方各位得到向前進的支持，希望一同構築中日關係的新世代。」


資料來源: http://headlines.yahoo.co.jp/hl?a=20150523-00000129-jij-pol


備註:圖片:http://www.jiji.com/jc/p?id=20150524075325-0019268962


譯者：F.D Liling, Jr.",Link,,,"05/24/2015 06:00:01 PM",291,291,0,548,548,0,18,2,6,,2,6,,13,14,3,10,,3,11,,0,0,,,,,,,490,251,0,0,15,0,0,0,0,0,0,0,0,0,0
425972674207761_545423135596047,https://www.facebook.com/UnitedIssue/posts/545423135596047,"【韓媒】 ［社論］朴總統回國後該做的事

U.I網頁版： http://united-issue.com/posts/320

朴槿惠總統結束了12天9夜的南美洲巡訪後，於27日凌晨回國。朴總統身體不太好，一到兩天沒有正式行程。青瓦台發言人閔庚旭說：「由於慢性疲勞而發生的胃痙攣，主要症狀是腹痛。」在遙遠的國家巡迴時，因為國內不愉快的消息而身心俱疲。

不過，比起朴總統所感受的，現在國民更加疲勞、渾身疼痛。在總統巡訪期間，國務總理表明了辭意，政務事實上是中斷的狀態。總統不在的期間，國內掀起許多弊案與批評，讓總統感到沉重，不過，相對地，在重要議題糾結在一起的情況下，世越號慘案一周年仍堅持要遠行的總統，讓人民覺得並不可靠。這個期間，就像連累政要的「成完鍾名單」的焦點被模糊了，(朴槿惠說的)「從政治改革的層次而言，（不分朝野）必須徹底釐清所有事情」，這句話終究無法落實。

想要徹底收拾成完鍾風波、恢復信賴的話，首先，朴總統必須先承認自己的錯，並在人民面前道歉。這次風波是京南企業前會長成完鍾向國務總理、青瓦台前任、現任秘書長，以及慶尚南道知事...等政要，提供政治獻金的弊案。成前會長表示，那筆獻金的一定數額，是流向朴總統的競選總部。朴總統不應該以第三者的角色說「和我毫無關係」，她至少應就這次多數親信牽涉本案向人民低頭道歉。而且，她必須明確承諾，檢方的調查不會脫離成完鍾名單的本質而放水。如此人們才能忘記朴總統為了避免窘困的局勢，使出的政治計謀。

朴總統回國當天受理了李完九總理的辭呈，雖然有點晚，但是一件好事。不過，更重要的是，要任命多數人民都認同的下一任總理。截至目前，朴總統都只從自己熟悉的人當中用人，比起歷任總統，許多人指責朴總統固執於有限人脈的態度，是造成政務紛亂的主要原因。因此，在政府的總理提名人不斷地被淘汰。並且，在國內外重要時機，仍要出訪南美，外交部門的責任應該被追究。因為這是國內的問題，雖然不能因為國內問題而延宕外交議題，即使是這樣，卻放著中日領袖會面機會的「萬隆會議60周年 亞非領袖會議」，而將行程訂於遙遠的南美巡訪，是重大的外交失策。放任這種錯誤，政務的運作只會繼續鬆散下去。


資料來源: http://www.hani.co.kr/arti/opinion/editorial/688631.html

備註:1.成完鍾，已故的韓國商人，曾任大韓民國第19代國會議員。因其捲入了「資源外交」腐敗案，於2015年4月9日，在首爾北漢山自縊，留下一張寫有八名韓國政要名字和金額的名單，外界認為這是一份行賄名單，單上的金額即賄款。名單上的八人都否認曾收受成完鍾的賄賂，李完九在壓力下辭去總理職務。韓國檢方已經成立專案組進行調查。
http://zh.wikipedia.org/zh-tw/%E6%88%90%E5%AE%8C%E9%8D%BE

2.南韓總理請辭之相關報導
http://www.appledaily.com.tw/realtimenews/article/new/20150427/600256/

譯者：政大韓文 林湘婷",Link,,,"05/21/2015 06:00:01 PM",366,366,0,652,652,0,40,,16,,,16,,29,29,,29,,,29,,0,0,,,,,,,593,321,0,0,39,0,0,0,0,0,0,0,0,0,0
425972674207761_544142709057423,https://www.facebook.com/UnitedIssue/posts/544142709057423,"【日媒】 特寫2015：安保法案閣議決定 七月底建立目標為強化同盟的政府

U.I網頁版： http://united-issue.com/posts/318


14日內閣議會決定的安全保障關聯法案有從平時到戰時不間段，以強化美日同盟為目標的可能。自衛隊的後方支援也大幅擴充，自衛隊被捲入戰鬥的危險性也提高。今後的焦點將轉移至國會。對於目標為「今年夏天為止成立」的政府、執政黨，雖然民主黨等的反彈強烈，在野黨的步伐必定不會一致。【佐藤慶、飼手勇介、水脇友輔】

●擴大支援美軍

「即使為了保護我們的美軍受到攻擊，沒有對日本攻擊的話，甚麼事都做不了(我們也無法採取行動)。這樣真的好嗎？」安倍晉三首相14日在記者會上強調決定轉換安保政策的理由。

政府、執政黨從平時到戰時「不間斷應對」的目標是強化美日同盟、強化日本的防衛力。

首相在去年春天和公民黨幹部私下會面，再三強調「美國雖然在保護日本，日本周邊安全保障環境強化的情況下，美國就可以減少幫助。必須要一齊守護國土。」

●中國崛起也是影響因素

首相特別擔心的是強化海上行動的中國的存在。中國2014年發表的國防預算約為13兆，過去26年間增加40倍，為日本國防預算的3倍。

另一方面，採取重視亞太「在平衡」政策的美國正處於嚴峻的財政狀況中，還有高額的國防預算。因為中東情勢等「重視亞洲」的姿態可能會動搖。首相在記者會上強調「現在不再是國家能獨自保衛國土的時代」的反面是如不加強和美國的強化，就無法守護日本。

許可限定行使的集體自衛權是為防護在日本近海警界發射彈道飛彈的美軍。平實的場合也可能修改自衛隊法，提供美軍燃料和彈藥。

政府相關人士表示：「對於美國的參與，首先引出的問題是日本必須表示擔任何種角色。」

自衛隊的後方支援也快速擴大。以日本的和平和安全的確保為目的的「重要影響事態法案」可能在預想朝鮮半島發生事態時，改正「周邊事態法」，及支援美軍和他國軍隊。「國際和平支援法案」也以支援多國軍隊的後勤支援迅速行動為目標。

活動範圍可能從先前作為「活動期間不得進行戰鬥行為」的非戰鬥場所，擴大到「現在戰鬥進行現場」外，也就是說到戰場的距離更加縮短了。雖然自衛隊面對的危險度升高，政府擴大後勤的背後是回應美國在全球的合作要求。

首相在記者會上強調「絕對不可能被捲入美國的戰爭。威嚇力升高，日本受攻擊的可能性就會下降。」但防衛省幹部擔心「60年沒流血的自衛官們可能將會流血。」不過他這樣補充道：「中國崛起改變了態勢。擴大自衛隊活動，部和美軍維持關係的話日本將無法生存。」


資料來源: http://mainichi.jp/shimen/news/20150515ddm003010135000c.html


備註:圖片來源片:http://mainichi.jp/graph/2015/05/15/20150515ddm003010135000c/001.html


譯者：F.D Liling, Jr.",Link,,,"05/18/2015 06:00:01 PM",222,222,0,410,410,0,13,,8,,,8,,6,7,,6,,,7,,0,0,,,,,,,370,192,0,0,13,0,0,0,0,0,0,0,0,0,0
425972674207761_543279792477048,https://www.facebook.com/UnitedIssue/posts/543279792477048,"【韓媒】 「美國古巴元首會面」的歷史性意義與南北關係

U.I網頁版： http://united-issue.com/posts/319

歷經東西冷戰體制（對抗）最高潮、長期「敵國」的美國與古巴，雙方領袖59年來終於見面。美國總統歐巴馬與古巴國務委員會主席卡斯楚，11日在巴拿馬舉行的美洲國家組織（OAS）高峰會雙方非正式會面，這是美國首次邀古巴參與美洲國家組織高峰會而促成。

美國與古巴領袖的「歷史性會面」，是去年12月為了清算超過半世紀的敵對關係，以及同意促進關係正常化之後再跨出了一步。兩國突然同意關係正常化，被認定是國際政治秩序的轉捩點。因為這意味美國以古巴的政權交替為目標而採行的圍堵政策的失敗；而古巴則是轉換路線為經濟改革與與實用主義。這意味20世紀的象徵：美國占領古巴（1902年）與古巴的社會主義革命（1959年）等，兩國新關係將重新定位。

這次的會面能使邦交正常化的協商多了彈性，現在兩國正在實務協商重開大使館，將古巴從支持恐怖主義國家的名單中除名的問題。從長期敵對關係的經驗來看，正常化協商並不是立即就能有大幅進展的。對於邦交正常化與從支持恐怖主義國家名單除名，在美國政府內仍有論調認為這是兩回事。

儘管如此，約十天前，美國等主要六個國家（Ｐ5+1）與伊朗，針對解決伊朗核武問題的方法達成協議之後，國際社會接連響起積極的信號。歐巴馬總統從2009年上任之初發表的「化敵為友」計畫，似乎可從古巴與伊朗的例子看到，已取得明顯的成果。即使具體的條件不同，無法沿用相同的解決方法，身為必須迫切解決韓半島的和平以及北韓核問題等嚴重課題，對於國際政治的急遽潮流，我們不能當做是「別人的事」。那個出發點必然是南北關係的改善。


資料來源: http://www.hani.co.kr/arti/opinion/editorial/686464.html

備註:wiki:古巴與美國關係
http://zh.wikipedia.org/zh-tw/%E5%8F%A4%E5%B7%B4%EF%BC%8D%E7%BE%8E%E5%9C%8B%E9%97%9C%E4%BF%82

圖片來源:
http://goo.gl/MPsWNY

譯者：政大韓文 林湘婷",Link,,,"05/16/2015 06:00:01 PM",297,297,0,593,593,0,17,,11,,,11,,9,10,2,7,,2,8,,0,0,,,,,,,543,261,0,0,16,0,0,0,0,0,0,0,0,0,0
425972674207761_542174365920924,https://www.facebook.com/UnitedIssue/posts/542174365920924,"【日媒】 ＜安倍首相＞安保法指整備意義 14日向國民說明
　
U.I網頁版： http://united-issue.com/posts/316
　
　
爭府於8日針對此屆國會提出包含集體自衛權行使要件安全保障相關法案表示，14日將會把國會決定的方針在自民黨安保關係議員集會上正式發表。安倍晉三首相愛同日傍晚也會舉辦記者會，親自將安保法治整備的意義向國民說明。
　
自民公民兩黨11召開關於安保法治整備的在野黨協議會，將會發表政府方面關聯法案的全文，兩黨黨內進入承認的階段。自民黨執政部希望在11日的關聯部會和12日總務會上得到法案的承認。雖然總務會上可能將會有異議，預計14日中午前完成全部手續。
　
自公兩黨一旦完成承認手續，政府14日下午會召開國家安全保障會議(NSC)和臨時會議，決定法案。
　
法案由國會提出，決定為了他國軍隊支援新制定的國際和平協力法案，及為修改既存的相關10個法案的和平安全法治整備法案等兩個法案，
　
國會審議上可能將對集體自衛權行使狀況「有顛覆國民根本上權利的危機事態」德具體情況是否妥當、戰時美軍和他國軍援助將擴長治何種程度進行論戰。
　
　
資料來源:：http://headlines.yahoo.co.jp/hl?a=20150508-00000079-mai-pol
　
　
圖片：http://jbpress.ismedia.jp/articles/-/43527
　
　
譯者：F.D Liling, Jr.",Link,,,"05/13/2015 07:15:01 PM",230,230,0,424,424,0,7,,3,,,3,,4,4,1,3,,1,3,,0,0,,,,,,,395,206,0,0,7,0,0,0,0,0,0,0,0,0,0
425972674207761_541800089291685,https://www.facebook.com/UnitedIssue/posts/541800089291685,"【日媒】 中媒：中國取代歐盟成為韓國的第二大投資對象 過去4年倍增

U.I網頁版： http://united-issue.com/posts/315

2015年5月7日根據中新財經，韓國銀行(央行)在同日發表的報告書中表示中國已超越歐盟成為韓國第二的投資對象國。

據報告書，2014年末為止韓國的對外投資規模由前年的955億美元增加至高達7166億美元。投資對象國中得美國最多，為1736億美元，接著是中國1324億美元，歐盟1272億美元，東南亞1062億美元。

近年，韓國對中投資劇增，2013年首次超越對東南亞的投資成為第3多，投資額在4年內倍增。投資的項目包括直接投資(在中國設廠)52.5％、存款融資等和其他共39.2％。

專家分析「韓國對中國投資劇增使兩國經貿關係更加緊密，韓國企業希望能在中國市場發展的期望表露無遺。」

資料來源: http://headlines.yahoo.co.jp/hl?a=20150508-00000064-rcdc-cn

備註:圖片:http://headlines.yahoo.co.jp/hl?a=20150508-00000064-rcdc-cn.view-000

譯者：F.D Liling, Jr.",Link,,,"05/12/2015 02:00:00 AM",293,293,0,562,562,0,23,,8,,,8,,18,21,2,17,,2,19,,0,0,,,,,,,506,253,0,0,23,0,0,0,0,0,0,0,0,0,0
425972674207761_540960236042337,https://www.facebook.com/UnitedIssue/posts/540960236042337,"【韓媒】 [時事評論] 必須認定北韓為擁核的國家嗎?

U.I網頁版： http://united-issue.com/posts/317

　　「必須把北韓視為擁核國家。」起初以為是要斥責以擁核國自居的北韓：「別說荒謬的話」而做的開頭，然而這是新世界黨黨魁金武星於3月24日在韓國海洋大學舉行的「青春論壇」，針對有關部署「戰區高空防禦導彈」（THAAD）的提問時，接在「雖然我的話可能出問題…」的但書之後的回答。

　　金主席的發言以後會引起軒然大波。首先，北韓對自己主張是擁核國，就會得到龐大的助力。在金主席發言四天後的28日，北韓《勞動新聞》評論員的文章中寫到，「別做想讓北韓放棄核武的會談之類的夢了。」意指北韓不會接受「不容北韓擁核」的原則。這只是巧合嗎？往後北韓擁有核武將成為定局。

　　北韓從進行第二次核子試爆3個月前的2009年2月就以擁核國家自居，2012年4月時更在修訂憲法的序文中註明其為擁核國家，現在甚至主張擁核國一同舉辦裁減核武的會議，而非六方會談。對於北韓這樣的主張，過去不只韓國，美、日、中、俄等國都基於「不容北韓擁核」原則，而對核武發展或是以擁核國家自居，都不予接受。任期內歷經兩次北韓核武試爆的李明博政府與朴槿惠政府，每次與美國和中國的高峰會，都會重申「不容北韓擁核」的原則。

　　然而，執政黨黨魁卻爆出與「不容北韓擁核」相反的「承認北韓擁核」的說詞。未來怎麼和相關的國家，尤其是美國與中國，以甚麼邏輯來解釋，並且恢復原狀呢？發言既已成為問題，金主席解釋說：「我只是說，應視北韓為擁有核武的國家，並不代表承認它。」如此，我想問金主席「應視為」與「承認」之間的差異是什麼呢？這個問題或許可以隨著國內的政治風向而消散，但要在國際上卻不會是可輕易混過的事。

　　金主席為什麼會在此時說這樣的話呢？有可能是認為如果說北韓已成為擁核國家的話，國民對於國家安全的不安感會升高，因而能團結保守勢力，並對4月的國會議員補選有幫助；或認為如果說北韓擁核已是既成事實，會使THAAD非佈署不可的說詞更有力道，而使主張佈署THAAD的自己派系在黨內的權力鬥爭中更加有利？不論發言動機為何，從1993年發生北韓核武問題的金泳三政府以來，歷任政府的北韓核武政策的大前提「不容北韓擁核」的原則，顯然遭到了重創。

　　就任後兩年期間，朴槿惠總統對於解決北韓核武問題的進展，實質設定了對北政策的前提條件。然而同一黨的主席卻說出承認北韓為擁核國家的話。此舉使得一直以來表示「北韓核武壓頂活不下去。」並且一有機會時就會強調解決北韓核武問題的必要性的朴槿惠總統會很為難。

　　北韓核武問題是高度複雜的國際問題。正因為只藉由南北會談無法解決，於是在「不容北韓擁核」的原則下才舉行了六方會談。看到這樣複雜的國際政治問題被當做即興式的國內政治手段，讓人想起了舊韓末的政治狀況。舊韓末的朝廷大臣們為了自身的權力而倚仗外國的勢力，在分成了親中派、親日派與親俄派進行勢力鬥爭的混亂之中，導致高宗避難到俄羅斯公使館一年的事情。在那段期間，外國使節擺佈了朝鮮的國內政治，最後由親日派勝出，於是36年的日本殖民統治就這樣開始了。

　　把國際政治做為國內政治的手法來用是自殺的行為。當然舊韓末與現在的狀況有很大的不同，然而由於這次將國際政治做為國內政治手段的行為，往後不論是現任政府或是繼任政府在解決兩韓關係與北韓核武問題上，很明顯地，處境只會變得更窄了。

資料來源: http://www.hani.co.kr/arti/opinion/column/684615.html

備註:延伸閱讀:北韓核問題

http://zh.wikipedia.org/wiki/%E6%9C%9D%E9%B2%9C%E6%A0%B8%E9%97%AE%E9%A2%98

譯者：政大韓文 蔡佳芳",Link,,,"05/09/2015 06:00:02 PM",402,402,0,750,750,0,29,1,12,,1,12,,23,32,6,20,,7,25,,0,0,,,,,,,660,354,0,0,29,0,0,0,0,0,0,0,0,0,0
425972674207761_540442979427396,https://www.facebook.com/UnitedIssue/posts/540442979427396,"【德媒】 BND事件：梅克爾與加布里爾態度對立

U.I網頁版： http://united-issue.com/posts/314

　　聯邦政府的分歧：德國總理梅克爾欲瞞著美國國家安全局(NSA)所持有的搜尋項目清單*，但副總理加布里爾(Sigmar Gabriel)卻堅持提供給聯邦議院。

　　在BND事件*，據總理梅克爾(CDU基民盟)的發言，聯邦政府姑且沒有要公開由美國情報機構NSA所交出的網路搜尋項目紀錄清單。梅克爾在周二晚間布萊梅廣播節目中的訪問公布，德國目前依國際慣例和美國進行協商程序中，之後才會做出決定，然後會將清單和其他諸多文件提供給聯邦議會。

　　然而社民黨(SPD)主席加布里爾認為，聯邦政府應准許提供清單給與聯邦議會。加布里爾在星期二晚間ZDF的今日日誌(Heute-Journal)表示：「國會必須知道，是否和NSA的合作會對BND帶來傷害，而大眾也必須知道。」他指責BND協助NSA以歐洲為目標的非法間諜活動。他假設，在和美國必要的協商後，有關的聯邦議會委員會代表會取得總理府搜尋清單的資格。

　　關於德國聯邦情報局(BND)和NSA的合作有「察明的需要」，對此因而有了調查委員會，資料當然由政府提供，梅克爾在德國電視二台(ZDF*)說到。梅克爾再三表示她已準備面對調查委員會，她在布萊梅電台中說道：「我會說明並回答必要的問題。」她表示如果需要的話，會在調查委員會進行，並補充說明：「在那裡我會很樂意效勞。」

　　梅克爾回憶她之前的發言：「窺探朋友是完全行不通的。」「這看起來是非常艱鉅的目標，比我所想的還艱難，但仍必須朝此方向努力。」她還說，另一方面，國際間情報機構的合作很重要。「面臨安全問題我們也需要這樣的機構，而我們也必須確保他們的工作能力。」最後是「要保護八千萬人(譯者：此指德國國民)的生命和生活。」

　　至於SPD對總理府的批評與對聯盟一行人的怒氣，梅克爾表示，聯合政府彼此合作的「非常、非常好。」(譯者：2013年大選後目前由CDU/CSU與SPD聯合執政)

　　身兼經濟部長的加布里爾在ZDF中說道，他相信總理所說的話，並沒有更進一步的證據顯示經濟間諜活動，「就她目前所知，梅克爾女士向我保證並無說謊。」現在必須查清楚所有事情，再進行評斷。「整體可能導向，我們必須要改變並將BND加強裝備得更好，BND就不用一再地依賴老大哥(譯者：指美國)探聽詢問事情。」加布里爾如此說道。聯邦議會在週三幾小時前針對此事件討論。反對派和SPD的政治人物在幾天前曾要求，總理府應將選擇過的清單呈給NSA調查委員會，那些清單為因BND和NSA合作而瞄準西方利益的NSA網路上所搜尋的項目紀錄。

資料來源: http://www.faz.net/aktuell/politik/inland/merkel-will-vor-untersuchungsausschuss-aussagen-13577140.html

備註:*德國電視二台（德語：Zweites Deutsches Fernsehen，縮寫ZDF）：是德國的一個公共電視台，也是歐洲最大的電視台之一。(資料來源：維基百科)


參考與延伸閱讀:

BND丑闻：社民党批评矛头指向总理府 http://dw.de/p/1FFQs

德國情報機構被曝助NSA監控歐洲 未上報德政府 http://big5.chinanews.com:89/gj/2015/04-24/7231103.shtml

譯者：P.Yang",Link,,,"05/07/2015 06:00:01 PM",486,486,0,838,838,0,38,,11,,,11,,32,39,3,30,,3,36,,0,0,,,,,,,738,417,0,0,37,0,0,0,0,0,0,0,0,0,0
